show_id,director_1,director_2
s356,Brad Furman,NULL
s357,Sylvain White,NULL
s358,Brad Anderson,NULL
s359,Irwin Winkler,NULL
s360,Spike Lee,NULL
s361,Garry Marshall,NULL
s362,NULL,NULL
s363,Kenneth Gyang,NULL
s364,Jaume Balagueró,NULL
s365,NULL,NULL
s366,Najwa Najjar,NULL
s367,NULL,NULL
s368,Selçuk Metin,NULL
s369,NULL,NULL
s370,NULL,NULL
s371,NULL,NULL
s372,Najwa Najjar,NULL
s373,Keishi Otomo,NULL
s374,David Charhon,NULL
s375,Michelle Bello,NULL
s376,Steven Tsuchida,NULL
s377,NULL,NULL
s378,Daniel Markowicz,NULL
s379,Louie Schwartzberg,NULL
s380,NULL,NULL
s381,Glen Winter,NULL
s382,NULL,NULL
s383,NULL,NULL
s384,Ram Gopal Varma,NULL
s385,David Benullo,NULL
s386,NULL,NULL
s387,NULL,NULL
s388,Laxman Utekar,NULL
s389,Royale Watkins,Rich Schlansker
s390,Yuval Adler,NULL
s391,NULL,NULL
s392,NULL,NULL
s393,Quentin Tarantino,NULL
s394,Clay Glen,NULL
s395,Muzi Mthembu,NULL
s396,Marcos Bucay,NULL
s397,Peter Thorwarth,NULL
s398,NULL,NULL
s399,Kim Seong-hun,NULL
s400,NULL,NULL
s401,NULL,NULL
s402,NULL,NULL
s403,Augustine Frizzell,NULL
s404,NULL,NULL
s405,NULL,NULL
s406,Sidheswar Shukla,NULL
s407,Rajiv Chilaka,NULL
s408,Rajiv Chilaka,NULL
s409,Rajiv Chilaka,NULL
s410,Rajiv Chilaka,NULL
s411,Rajiv Chilaka,NULL
s412,Rajiv Chilaka,NULL
s413,Rajiv Chilaka,NULL
s414,Rajiv Chilaka,NULL
s415,Rajiv Chilaka,NULL
s416,Rajiv Chilaka,NULL
s417,Rajiv Chilaka,NULL
s418,Binayak Das,NULL
s419,Arpan Sarkar,Shyamal Chaulia
s420,Rajiv Chilaka,NULL
s421,Rajiv Chilaka,NULL
s422,Rajiv Chilaka,Owll Mina
s423,Rajiv Chilaka,NULL
s424,Rajiv Chilaka,NULL
s425,Rajiv Chilaka,NULL
s426,NULL,NULL
s427,Ainsley Gardiner,Briar Grace-Smith
s428,Mahmoud Karim,NULL
s429,Kyohei Ishiguro,NULL
s430,Seyi Babatope,NULL
s431,NULL,NULL
s432,NULL,NULL
s433,Johane Matte,Andrew L. Schmidt
s434,Morgan Ingari,NULL
s435,NULL,NULL
s436,NULL,NULL
s437,Abdulaziz Alshlahei,NULL
s438,Edward Drake,NULL
s439,Kathryn Fasegha,NULL
s440,Sita Likitvanichkul,Jetarin Ratanaserikiat
s441,NULL,NULL
s442,Leigh Janiak,NULL
s443,NULL,NULL
s444,Luis Estrada,NULL
s445,Garrett Bradley,NULL
s446,Sofia Coppola,NULL
s447,Colin Trevorrow,NULL
s448,Bill Condon,NULL
s449,Bill Condon,NULL
s450,David Slade,NULL
s451,Chris Weitz,NULL
s452,Catherine Hardwicke,NULL
s453,Hadrah Daeng Ratu,NULL
s454,NULL,NULL
s455,Tommy Chong,NULL
s456,Fred Ouro Preto,NULL
s457,NULL,NULL
s458,Mayye Zayed,NULL
s459,Alessandra de Rossi,NULL
s460,NULL,NULL
s461,Ash Brannon,Chris Buck
s462,Alaa Eddine Aljem,NULL
s463,Tom Donahue,NULL
s464,Roberto De Feo,Paolo Strippoli
s465,Navot Papushado,NULL
s466,NULL,NULL
s467,NULL,NULL
s468,Manuel Alcalá,NULL
s469,Ricardo Trogi,NULL
s470,Semi Chellas,NULL
s471,NULL,NULL
s472,Akay Mason,Abosi Ogba
s473,NULL,NULL
s474,Viridiana Lieberman,NULL
s475,Nima Nourizadeh,NULL
s476,Daniel Ružicka,NULL
s477,Juraj Šajmovic,NULL
s478,NULL,NULL
s479,NULL,NULL
s480,Leigh Janiak,NULL
s481,Femi D. Ogunsanwo,NULL
s482,Douglas Attal,NULL
s483,NULL,NULL
s484,NULL,NULL
s485,Kim Joo-hyung,NULL
s486,Avi Federgreen,NULL
s487,Jericca Cleland,Kevin Munroe
s488,NULL,NULL
s489,NULL,NULL
s490,Ahmed Siddiqui,NULL
s491,NULL,NULL
s492,Hallie Meyers-Shyer,NULL
s493,Scott Speer,NULL
s494,NULL,NULL
s495,Barry Levinson,NULL
s496,Tolulope Itegboje,NULL
s497,Camille Delamarre,NULL
s498,NULL,NULL
s499,Pascal Atuma,NULL
s500,NULL,NULL
s501,Oleg Trofim,NULL
s502,Seyi Babatope,NULL
s503,Mahmood Ali-Balogun,NULL
s504,Jan Holoubek,NULL
s505,NULL,NULL
s506,Anurin Nwunembom,Musing Derrick
s507,Christine Luby,NULL
s508,Udoka Oyeka,NULL
s509,Yeo Siew Hua,NULL
s510,NULL,NULL
s511,NULL,NULL
s512,NULL,NULL
s513,NULL,NULL
s514,NULL,NULL
s515,NULL,NULL
s516,NULL,NULL
s517,NULL,NULL
s518,NULL,NULL
s519,Hardik Mehta,NULL
s520,NULL,NULL
s521,NULL,NULL
s522,NULL,NULL
s523,NULL,NULL
s524,NULL,NULL
s525,NULL,NULL
s526,NULL,NULL
s527,NULL,NULL
s528,NULL,NULL
s529,Rajveer Singh Maan,Harpeet Singh
s530,Youssef Chahine,NULL
s531,NULL,NULL
s532,Saw Teong Hin,Nik Amir Mustapha
s533,NULL,NULL
s534,NULL,NULL
s535,Rano Karno,NULL
s536,NULL,NULL
s537,NULL,NULL
s538,NULL,NULL
s539,NULL,NULL
s540,NULL,NULL
s541,NULL,NULL
s542,Pramod Pawar,NULL
s543,Naresh Saigal,NULL
s544,NULL,NULL
s545,NULL,NULL
s546,NULL,NULL
s547,NULL,NULL
s548,NULL,NULL
s549,NULL,NULL
s550,NULL,NULL
s551,Leigh Janiak,NULL
s552,Vinil Mathew,NULL
s553,Neri Parenti,NULL
s554,NULL,NULL
s555,Ramsey Nouah,NULL
s556,Bong Joon Ho,NULL
s557,Kim Tae-hyung,NULL
s558,Michael Spierig,Peter Spierig
s559,Ernie Barbarash,NULL
s560,Wolfgang Petersen,NULL
s561,Matt Ogens,NULL
s562,Jay Roach,NULL
s563,Jay Roach,NULL
s564,Jay Roach,NULL
s565,Paul Thomas Anderson,NULL
s566,NULL,NULL
s567,McG,NULL
s568,Frank Marshall,NULL
s569,Nick Castle,NULL
s570,Victor Vu,NULL
s571,Chow Hin Yeung Roy,NULL
s572,NULL,NULL
s573,Joel Hopkins,NULL
s574,John Stevenson,Mark Osborne
s575,Jennifer Yuh Nelson,NULL
s576,Greg Berlanti,NULL
s577,Garth Davis,NULL
s578,Malik Nejer,NULL
s579,Rob Marshall,NULL
s580,Martin Brest,NULL
s581,Shuko Murase,NULL
s582,Paul W.S. Anderson,NULL
s583,Garry Marshall,NULL
s584,Ivan Reitman,NULL
s585,Joel Gallen,NULL
s586,Claire McCarthy,NULL
s587,Mary Lambert,NULL
s588,Sidharta Tata,Aco Tenriyagelli
s589,NULL,NULL
s590,Trevor Nunn,NULL
s591,NULL,NULL
s592,Gabriele Muccino,NULL
s593,Jim Field Smith,NULL
s594,Chris Koch,NULL
s595,J.J. Abrams,NULL
s596,Rob Minkoff,NULL
s597,Lynn Shelton,NULL
s598,Adam McKay,NULL
s599,Anton Corbijn,NULL
s600,Robin Bissell,NULL
s601,David Fincher,NULL
s602,John G. Avildsen,NULL
s603,John G. Avildsen,NULL
s604,John G. Avildsen,NULL
s605,Alan Parker,NULL
s606,Walter Hill,NULL
s607,Stephen Frears,NULL
s608,Bryan Bertino,NULL
s609,Phil Alden Robinson,NULL
s610,Florian Henckel von Donnersmarck,NULL
s611,Len Wiseman,NULL
s612,Måns Mårlind,Björn Stein
s613,Patrick Tatopoulos,NULL
s614,Robert O. Peters,NULL
s615,Vincent Ward,NULL
s616,Gregory Nava,NULL
s617,Mary Harron,NULL
s618,NULL,NULL
s619,Matt Thompson,NULL
s620,Jameel Buari,NULL
s621,NULL,NULL
s622,Shen Leping,NULL
s623,Matt Aselton,NULL
s624,Jose Javier Reyes,NULL
s625,Jakub Piatek,NULL
s626,NULL,NULL
s627,John Dower,NULL
s628,NULL,NULL
s629,NULL,NULL
s630,B. T Thomas,NULL
s631,Andrew Dominik,NULL
s632,NULL,NULL
s633,Nibal Arakji,NULL
s634,Sofie Šustková,NULL
s635,Anissa Bonnefont,NULL
s636,Bahij Hojeij,NULL
s637,Jonathan Hensleigh,NULL
s638,Srijit Mukherji,Vasan Bala
s639,NULL,NULL
s640,NULL,NULL
s641,NULL,NULL
s642,NULL,NULL
s643,NULL,NULL
s644,Justin P. Lange,NULL
s645,Kimmy Gatewood,NULL
s646,Tània Balló,NULL
s647,Manolo Caro,NULL
s648,NULL,NULL
s649,NULL,NULL
s650,Anurin Nwunembom,NULL
s651,Jayme Monjardim,NULL
s652,Kingsley Ogoro,NULL
s653,Kingsley Ogoro,NULL
s654,NULL,NULL
s655,Cristina Jacob,NULL
s656,Cristina Jacob,NULL
s657,Cristina Jacob,NULL
s658,NULL,NULL
s659,NULL,NULL
s660,NULL,NULL
s661,NULL,NULL
s662,NULL,NULL
s663,NULL,NULL
s664,NULL,NULL
s665,Fernando Moro,NULL
s666,NULL,NULL
s667,Ivan Andrew Payawal,NULL
s668,NULL,NULL
s669,NULL,NULL
s670,NULL,NULL
s671,Yoshiyuki Tomino,Yoshikazu Yasuhiko
s672,Yoshiyuki Tomino,Yoshikazu Yasuhiko
s673,Yoshiyuki Tomino,NULL
s674,NULL,NULL
s675,NULL,NULL
s676,NULL,NULL
s677,Rob Seidenglanz,NULL
s678,NULL,NULL
s679,NULL,NULL
s680,NULL,NULL
s681,NULL,NULL
s682,Simon Frederick,NULL
s683,NULL,NULL
s684,Michihito Fujii,NULL
s685,NULL,NULL
s686,Paul Weitz,NULL
s687,NULL,NULL
s688,Karthik Subbaraj,NULL
s689,Kayode Kasum,NULL
s690,Yoshiyuki Tomino,Yoshikazu Yasuhiko
s691,Keishi Otomo,NULL
s692,NULL,NULL
s693,Hsu Fu-chun,NULL
s694,Lucky Kuswandi,NULL
s695,Soudade Kaadan,NULL
s696,Soudade Kaadan,NULL
s697,NULL,NULL
s698,NULL,NULL
s699,Antoinette Jadaone,NULL
s700,NULL,NULL
s701,NULL,NULL
s702,Marie Clements,NULL
s703,David O. Russell,NULL
s704,NULL,NULL
s705,Achille Brice,NULL
s706,Max Jabs,NULL
s707,NULL,NULL
s708,Sarawut Wichiensarn,NULL
s709,Ricardo de Montreuil,NULL
s710,NULL,NULL
s711,NULL,NULL
s712,Peter Chelsom,NULL
s713,Michael Lockshin,NULL
s714,NULL,NULL
s715,NULL,NULL
s716,NULL,NULL
s717,Francine Parker,NULL
s718,NULL,NULL
s719,Daniel Schechter,NULL
s720,NULL,NULL
s721,NULL,NULL
s722,Mike Gunther,NULL
s723,David Zeiger,NULL
s724,Michael Simon,NULL
s725,Jerry Rothwell,NULL
s726,NULL,NULL
s727,Joe Berlinger,Bruce Sinofsky
s728,Ian Cheney,Sharon Shattuck
s729,Bradley Parker,NULL
s730,NULL,NULL
s731,NULL,NULL
s732,NULL,NULL
s733,NULL,NULL
s734,NULL,NULL
s735,NULL,NULL
s736,Prabhakaran,NULL
s737,Manjari Makijany,NULL
s738,Jay Oliva,NULL
s739,NULL,NULL
s740,Chris Appelhans,NULL
s741,Michael Tiddes,NULL
s742,Lara Saba,NULL
s743,Bao Nhan,Namcito
s744,Mark Raso,NULL
s745,NULL,NULL
s746,Tariq Alkazim,NULL
s747,Mark Raso,NULL
s748,Kenneth Gyang,NULL
s749,NULL,NULL
s750,NULL,NULL
s751,Yulene Olaizola,NULL
s752,NULL,NULL
